#OTU ID	Platz19	Platz14	Platz11	Platz10	Platz18	Platz15	Platz12	Platz22	Platz13	Platz20	Platz2	Platz1	Platz16	Platz21	Platz24	Platz17	Platz5	Platz25	Platz8	Platz6	Platz7	Platz4	positiv	Platz3	Platz23	Platz9	taxonomy
359098	43.0	0.0	1579.0	0.0	107.0	0.0	4564.0	317.0	0.0	9103.0	0.0	0.0	1092.0	1718.0	0.0	204.0	300.0	2529.0	4069.0	1750.0	7417.0	3198.0	0.0	1895.0	1692.0	956.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
191683	32.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	173.0	0.0	100.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	381.0	252.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
358749	31.0	0.0	0.0	8278.0	95.0	77.0	0.0	55.0	0.0	0.0	0.0	1856.0	86.0	79.0	999.0	239.0	602.0	92.0	25.0	0.0	50.0	129.0	0.0	235.0	9.0	397.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
362078	36.0	4.0	0.0	0.0	426.0	145.0	0.0	9.0	0.0	0.0	0.0	0.0	19.0	0.0	2.0	1042.0	27.0	57.0	0.0	79.0	0.0	585.0	0.0	78.0	100.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
188165	29.0	0.0	0.0	0.0	0.0	127.0	290.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	163.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
174755	37.0	10490.0	804.0	0.0	195.0	763.0	670.0	270.0	674.0	4897.0	171.0	221.0	613.0	465.0	45.0	485.0	0.0	493.0	687.0	2357.0	3965.0	0.0	0.0	393.0	1332.0	522.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens
182186	29.0	47.0	0.0	0.0	8.0	26.0	121.0	58.0	269.0	33.0	22.0	304.0	114.0	0.0	35.0	24.0	137.0	105.0	35.0	28.0	9.0	100.0	0.0	37.0	21.0	229.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
198192	26.0	0.0	9.0	0.0	0.0	181.0	0.0	63.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
180045	34.0	52.0	52.0	0.0	1.0	268.0	0.0	98.0	252.0	76.0	0.0	0.0	599.0	0.0	8.0	0.0	0.0	415.0	28.0	0.0	55.0	0.0	0.0	261.0	608.0	206.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
345172	23.0	0.0	104.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	258.0	61.0	0.0	17.0	0.0	30.0	56.0	19.0	41.0	0.0	0.0	0.0	13.0	12.0	71.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
