# Constructed from biom file
#OTU ID	Platz12	Platz2	Platz16	Platz13	Platz18	Platz17	Platz15	Platz1	Platz3	Platz19	Platz4	Platz5	Platz7	Platz6	Platz14	Platz8	Platz9	taxonomy
579608	462.0	0.0	787.0	0.0	9.0	5.0	0.0	3985.0	5.0	0.0	4069.0	0.0	30.0	299.0	148.0	0.0	79.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
182186	259.0	261.0	12.0	348.0	48.0	234.0	0.0	341.0	310.0	1180.0	550.0	123.0	660.0	2292.0	133.0	142.0	3734.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4478242	248.0	36.0	0.0	0.0	1273.0	135.0	0.0	0.0	0.0	0.0	0.0	65.0	2.0	4.0	216.0	109.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
365965	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2606.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
366068	382.0	0.0	0.0	0.0	249.0	1627.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1181.0	824.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
196428	269.0	1342.0	0.0	802.0	0.0	5467.0	0.0	75.0	0.0	0.0	2.0	5568.0	0.0	526.0	524.0	15006.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
174755	349.0	245.0	1271.0	242.0	288.0	293.0	490.0	422.0	536.0	356.0	0.0	374.0	0.0	1037.0	398.0	1076.0	0.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens
529652	221.0	0.0	694.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	550.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
196215	216.0	5.0	0.0	0.0	136.0	40.0	0.0	7.0	0.0	233.0	0.0	32.0	0.0	729.0	519.0	0.0	253.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
577170	212.0	1104.0	0.0	0.0	166.0	0.0	20023.0	6598.0	8909.0	0.0	0.0	813.0	0.0	3822.0	5510.0	9236.0	1908.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
